VideoAnalysis: Time (s),VideoAnalysis: X,VideoAnalysis: Y,VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity
64,203.7659375,377.273125,-62.81776538,-4.192282757
64.2,188.2698438,376.4957813,-69.55827265,-1.984276743
64.4,172.2151563,376.195,-54.74487003,1.125403105
64.6,164.5823438,376.85125,-26.93905752,4.025307581
64.8,160.0510938,379.47625,8.950410175,-0.211411911
65,167.8167188,376.5973438,45.24360639,-3.685638329
65.2,181.258125,376.2965625,64.76128472,0.154622396
65.4,196.4065625,376.9528125,67.62369792,3.185221354
65.6,211.5784375,377.9684375,50.55881076,4.542643229
65.8,218.9729688,379.28875,19.35492622,2.828233507
66,220.5901563,379.28875,-18.6469184,-0.245225694
66.2,210.7464063,379.304375,-51.5483941,-3.512369792
66.4,196.4885938,377.7223438,-65.56369358,-5.373806424
66.6,181.4573438,375.7848438,-61.03949653,-1.112738715
66.8,169.8909375,377.28875,-41.74967448,2.935655382
67,162.6135938,378.273125,-10.1047092,1.256510417
67.2,164.883125,378.273125,26.06770833,-2.602539063
67.4,174.5589063,376.3942188,53.88943142,-2.754448785
67.6,189.5003125,376.0817188,64.65494792,2.121853299
67.8,202.8089063,377.5778125,59.59581163,5.476888021
68,215.7542188,379.2653125,38.86664497,4.124348958
68.2,221.2659375,379.9215625,2.907443576,-0.877278646
68.4,217.5667188,378.4723438,-35.8327908,-4.065212674
68.6,204.08625,377.8239063,-60.10850694,-4.745008681
68.8,190.289375,376.16375,-65.25499132,-3.055555556
69,175.8245313,376.491875,-55.28211806,-0.640733507
69.2,164.7932813,376.1676563,-26.9281684,0.430230035
69.4,164.1057813,376.8239063,7.560763889,0.748697917
69.6,168.9417188,376.8239063,37.19401042,-0.387369792
69.8,179.7151563,375.9528125,60.25878906,1.662868924
70,195.7190625,377.2653125,66.95638021,4.574652778
70.2,210.3596875,378.2496875,51.96506076,5.218098958
70.4,218.89875,379.8903125,22.18315972,2.941080729
70.6,220.5198438,379.8903125,-14.93923611,-1.653645833
70.8,212.0589063,378.9567188,-47.16417101,-4.721137153
71,198.9729688,377.28875,-64.04730903,-4.177517361
71.2,183.8753125,376.6442188,-64.56705729,-0.473090278
71.4,169.7698438,377.4098438,-45.39822049,1.797417535
71.6,163.6604688,378.0660938,-13.79340278,0.712890625
71.8,163.6604688,378.0660938,21.38628185,-2.083240521
72,173.0628125,376.7692188,51.39361977,-2.657412982
72.2,187.0823438,376.1403125,64.921553,0.880934267
72.4,201.27375,377.1246875,62.71981779,4.499266436
72.6,215.8675,378.4371875,39.27150087,5.300048411
72.8,219.1096875,380.0778125,3.741671828,1.796331711
73,216.5901563,379.7535938,-29.23611111,-4.339192708
73.2,206.539375,377.4879688,-55.68956163,-6.416015625
73.4,191.7151563,376.1364063,-66.11219618,-3.365885417
73.6,176.3635938,376.0934375,-55.55718316,0.316297743
73.8,167.0159375,376.7496875,-29.58387587,1.57280816
74,163.4065625,377.4059375,3.776041667,-0.295138889
74.2,168.2698438,376.7575,37.34375,-2.66547309
74.4,180.4846875,375.1364063,58.83138021,0.38031684
74.6,195.2542188,376.8121875,61.16699219,4.020724826
74.8,206.820625,377.1403125,49.94737413,5.766059028
75,217.5003125,379.7926563,24.93543837,3.879665799
75.2,219.0940625,379.2145313,-11.63791233,-0.646701389
75.4,211.8479688,379.2145313,-43.15755208,-3.733181424
75.6,199.7776563,377.195,-62.37847222,-4.255099826
75.8,183.46125,377.195,-61.69976128,-2.833658854
76,172.0510938,376.2301563,-43.16351997,-1.966688368
76.2,164.9846875,376.2848438,-15.47688802,-0.743815104
76.4,164.9846875,376.2848438,17.24392361,-0.941840278
76.6,171.7385938,375.97625,48.54329427,-1.120876736
76.8,187.1096875,375.0035938,64.55349392,2.172851563
77,201.6565625,376.8707813,58.11469184,5.171983507
77.2,212.4221875,377.9332813,37.54611545,4.069552951
77.4,218.195625,378.9332813,7.327473958,0.593532986
77.6,216.226875,378.2848438,-26.75726997,-3.441840278
77.8,205.8675,376.8707813,-51.7827691,-3.911132813
78,192.9925,376.1129688,-61.88313802,-1.317274306
78.2,178.2464063,376.1129688,-54.69618056,2.304144965
78.4,168.5432813,377.7809375,-31.97102865,2.27593316
78.6,164.2776563,377.7809375,-1.328667535,-1.267903646
78.8,167.226875,377.1325,32.47450087,-3.904622396
79,178.6917188,375.1871875,57.34375,-1.673719618
79.2,193.9378125,375.5973438,61.85601128,4.493272569
79.4,206.1526563,377.8942188,49.42491319,6.576063368
79.6,215.3948438,379.2067188,25.42751736,3.651801215
79.8,217.9885938,379.5465625,-7.452138477,-0.745254821
80,212.0823438,378.9176563,-38.43319742,-4.908148354
80.2,200.8128125,376.648125,-58.68087684,-4.465120111
80.4,186.1253125,376.57,-62.67909018,-1.127002596
80.6,172.055,376.57,-45.3521063,0.736270524
80.8,165.6409375,377.22625,-14.57555298,0.866487562
81,166.289375,377.22625,17.22764757,-0.583767361
81.2,173.7464063,376.5778125,42.29112413,-0.151367188
81.4,184.9182813,376.9567188,56.47352431,1.355794271
81.6,198.6253125,377.0426563,56.35036892,3.148328993
81.8,209.9378125,378.4567188,40.94780816,3.52484809
82,217.3948438,379.1129688,12.1733941,0.540364583
82.2,215.8909375,378.78875,-22.32910156,-2.984483507
82.4,206.726875,377.8278125,-47.80544705,-5.600585938
82.6,194.6839063,375.5035938,-60.36838108,-3.288845486
82.8,179.6292188,375.9801563,-55.16384549,1.385091146
83,169.89875,377.0973438,-33.77549913,1.675347222
83.2,164.5979688,377.1364063,-3.001844618,-0.390625
83.4,168.164375,376.491875,30.03146701,-0.79155816
83.6,178.383125,376.5192188,52.67361111,0.37109375
83.8,192.4182813,376.523125,57.89442274,2.401801215
84,204.2307813,377.5582813,46.89453125,3.953450521
84.2,211.9651563,378.2223438,28.06315104,4.283854167
84.4,217.4065625,379.8864063,-1.065538194,1.671006944
84.6,212.8128125,379.5621875,-35.11935764,-3.801540799
84.8,200.6721875,377.2926563,-55.44704861,-4.463975694
85,187.7932813,377.2926563,-59.00227865,-2.569444444
85.2,174.4964063,376.32,-46.15614149,-0.515407986
85.4,166.6526563,377.2067188,-18.37782118,0.866970486
85.6,166.6526563,377.2067188,13.09027778,-0.236545139
85.8,172.8128125,376.8825,39.47211372,-0.456271701
86,183.8870313,376.7848438,56.17730035,0.620117188
86.2,198.43,377.1129688,55.37326389,1.895616319
86.4,208.2542188,377.1129688,40.52680122,4.536132813
86.6,215.7698438,379.8785938,17.02365451,2.756618924
86.8,217.164375,378.91375,-16.67209201,-2.043728299
87,208.7151563,378.2653125,-46.92979601,-3.586697049
87.2,195.4104688,376.9684375,-60.73513455,-2.661132813
87.4,180.414375,377.35125,-52.67795139,-1.869574653
87.6,172.21125,376.3785938,-30.83224826,-1.770833333
87.8,168.0432813,376.5504688,-6.018773814,-1.338637648
88,168.6917188,375.9059375,23.59295056,-1.100269755
88.2,178.2190625,375.9098438,47.83035001,0.287429553
88.4,190.3440625,375.9098438,57.31647199,2.22298719
88.6,204.1565625,376.6051563,48.74422163,4.453506182
88.8,212.2815625,378.2457813,25.55668137,3.957033966
89,215.1995313,379.2340625,-3.344184028,-1.074761285
89.2,210.9807813,376.9528125,-31.79361979,-2.562934028
89.4,200.89875,377.6090625,-50.98524306,-1.093207465
89.6,187.7464063,376.7965625,-54.25347222,-0.45952691
89.8,177.555,377.1246875,-45.44270833,1.246202257
90,167.2307813,378.1090625,-23.2014974,-0.754123264
90.2,165.9182813,376.8160938,10.58539497,-2.490234375
90.4,173.3753125,376.491875,36.02430556,-1.417100694
90.6,181.6917188,375.8707813,52.70507813,1.369900174
90.8,196.2503125,377.1832813,56.98567708,3.569335938
91,207.9104688,378.2067188,42.05240885,1.719835069
91.2,214.8557813,377.5778125,16.08615451,0.485568576
91.4,215.805,378.2340625,-17.43218316,-0.361328125
91.6,206.3635938,378.2340625,-43.05338542,-4.131944444
91.8,196.1214063,375.9684375,-54.75640191,-4.888780382
92,182.5354688,375.3903125,-53.36805556,-1.692165799
92.2,172.039375,375.4098438,-35.93967014,1.223415799
92.4,166.3596875,376.445,-7.898763021,1.484917535
92.6,168.305,376.445,23.15863715,-0.226779514
92.8,176.6292188,376.1207813,47.68446181,-0.898980035
93,190.5784375,375.1520313,54.88552517,2.430555556
93.2,201.2346875,377.4489063,46.25488281,4.367404514
93.4,210.2815625,377.5621875,28.35449219,3.067491319
93.6,214.1565625,378.6403125,1.534830729,1.427951389
93.8,211.43,378.6403125,-27.56835938,-2.40234375
94,201.93,377.0192188,-49.51605903,-2.902560764
94.2,189.2073438,377.0192188,-57.02256944,-1.131727431
94.4,176.0042188,376.3707813,-46.53971354,1.467013889
94.6,168.226875,378.0621875,-22.13270399,1.839735243
94.8,166.5354688,378.0621875,6.940646701,-1.993272569
95,171.351875,376.6871875,34.03700087,-3.319227431
95.2,181.3596875,376.03875,52.82552083,-1.133897569
95.4,194.9885938,376.03875,56.77788628,2.083875868
95.6,207.3675,376.7535938,42.2679453,5.367494458
95.8,213.3440625,379.6598438,17.77259347,2.043756854
96,215.289375,377.7145313,-11.96148488,-2.266241675
96.2,208.6409375,377.7145313,-40.55229881,-2.193763782
96.4,196.96125,377.0660938,-56.29854114,-2.551939052
96.6,182.6721875,376.3629688,-52.76313764,-1.142829396
96.8,173.289375,376.7301563,-33.90679253,-0.380859375
97,168.039375,376.41375,-7.333984375,-0.5859375
97.2,170.3089063,376.41375,19.96799045,-0.426974826
97.4,176.164375,376.4723438,44.76888021,-0.919053819
97.6,190.5042188,375.366875,56.26030816,1.569552951
97.8,201.6721875,376.85125,50.3266059,4.914279514
